Tracker AUC: 0.3351436392871622, Robustness: 0.4938913239159228, Accuracy: 0.5854730790776824, Learning Rate: 0
Tracker AUC: 0.3345797369171172, Robustness: 0.49400041513323917, Accuracy: 0.6374776526194181, Learning Rate: 0.01
Tracker AUC: 0.325638887104742, Robustness: 0.49717501830784233, Accuracy: 0.6231237418712516, Learning Rate: 0.02
Tracker AUC: 0.33412973965319914, Robustness: 0.49717501830784233, Accuracy: 0.6291301631205445, Learning Rate: 0.03
Tracker AUC: 0.33540609470308674, Robustness: 0.5143707855036095, Accuracy: 0.6058726933864006, Learning Rate: 0.05
Tracker AUC: 0.28488507055186874, Robustness: 0.48992634105916505, Accuracy: 0.5837152059468625, Learning Rate: 0.1
Tracker AUC: 0.2859894328242424, Robustness: 0.4879527323385684, Accuracy: 0.5734178708025138, Learning Rate: 0.2
Tracker AUC: 0.27716778627903654, Robustness: 0.4879527323385684, Accuracy: 0.5627684806681292, Learning Rate: 0.3
Tracker AUC: 0.2699949676617628, Robustness: 0.4879527323385684, Accuracy: 0.5460872536820678, Learning Rate: 0.4


DeepFeatures
Tracker AUC: 0.3422936681898255, Robustness: 0.5195555955291198, Accuracy: 0.5551801644989981, Learning Rate: 0
Tracker AUC: 0.35601175652901806, Robustness: 0.5045853046143587, Accuracy: 0.5823310669336337, Learning Rate: 0.01
Tracker AUC: 0.33795859760896163, Robustness: 0.502419961213104, Accuracy: 0.5892416340923925, Learning Rate: 0.02
Tracker AUC: 0.3363089841160888, Robustness: 0.5091326902655142, Accuracy: 0.5932850068787356, Learning Rate: 0.03
Tracker AUC: 0.3326989722791682, Robustness: 0.5137358648686888, Accuracy: 0.584661848343002, Learning Rate: 0.05
Tracker AUC: 0.2958786025125172, Robustness: 0.50779961503, Accuracy: 0.5680202336635183, Learning Rate: 0.1
Tracker AUC: 0.2860975987848095, Robustness: 0.5064768637072486, Accuracy: 0.5504643897928371, Learning Rate: 0.2
Tracker AUC: 0.2420310319315567, Robustness: 0.4785099855335731, Accuracy: 0.5034970866060958, Learning Rate: 0.3
Tracker AUC: 0.22729850945921887, Robustness: 0.47685161074087, Accuracy: 0.4834968621567746, Learning Rate: 0.4

